County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
41 - San Mateo,2/26/2015,In Closure,58730462,22,Bay Area Counties
42 - Santa Barbara,2/26/2015,In Review,14184675,20,
42 - Santa Barbara,2/26/2015,Pending Construction,8584257,24,
42 - Santa Barbara,2/26/2015,In Construction,372853819,51,
42 - Santa Barbara,2/26/2015,In Closure,81874497,20,
43 - Santa Clara,2/26/2015,In Review,218286365,86,Bay Area Counties
43 - Santa Clara,2/26/2015,Pending Construction,53615595,47,Bay Area Counties
43 - Santa Clara,2/26/2015,In Construction,1588534601,145,Bay Area Counties
43 - Santa Clara,2/26/2015,In Closure,114343755,35,Bay Area Counties
44 - Santa Cruz,2/26/2015,In Review,298216,7,
44 - Santa Cruz,2/26/2015,Pending Construction,45680,2,
44 - Santa Cruz,2/26/2015,In Construction,11679567,19,
44 - Santa Cruz,2/26/2015,In Closure,464959,3,
45 - Shasta,2/26/2015,In Review,21563630,15,
45 - Shasta,2/26/2015,Pending Construction,1405415,17,
45 - Shasta,2/26/2015,In Construction,10094865,30,
45 - Shasta,2/26/2015,In Closure,342031,2,
46 - Sierra,2/26/2015,In Review,0,0,
46 - Sierra,2/26/2015,Pending Construction,0,0,
46 - Sierra,2/26/2015,In Construction,0,0,
46 - Sierra,2/26/2015,In Closure,0,0,
47 - Siskiyou,2/26/2015,In Review,574107,6,
47 - Siskiyou,2/26/2015,Pending Construction,778700,2,
47 - Siskiyou,2/26/2015,In Construction,1046729,9,
47 - Siskiyou,2/26/2015,In Closure,30000,2,
48 - Solano,2/26/2015,In Review,58922720,15,Bay Area Counties
48 - Solano,2/26/2015,Pending Construction,8463101,11,Bay Area Counties
48 - Solano,2/26/2015,In Construction,45194443,28,Bay Area Counties
48 - Solano,2/26/2015,In Closure,3586474,18,Bay Area Counties
49 - Sonoma,2/26/2015,In Review,2059500,22,Bay Area Counties
49 - Sonoma,2/26/2015,Pending Construction,1142366,11,Bay Area Counties
49 - Sonoma,2/26/2015,In Construction,19993014,39,Bay Area Counties
49 - Sonoma,2/26/2015,In Closure,134498310,30,Bay Area Counties
50 - Stanislaus,2/26/2015,In Review,22806451,12,
50 - Stanislaus,2/26/2015,Pending Construction,6306781,26,
50 - Stanislaus,2/26/2015,In Construction,8648589,38,
50 - Stanislaus,2/26/2015,In Closure,13563749,24,
51 - Sutter,2/26/2015,In Review,0,1,
51 - Sutter,2/26/2015,Pending Construction,12704683,3,
51 - Sutter,2/26/2015,In Construction,275467,1,
51 - Sutter,2/26/2015,In Closure,0,0,
52 - Tehama,2/26/2015,In Review,489636,3,
52 - Tehama,2/26/2015,Pending Construction,419575,6,
52 - Tehama,2/26/2015,In Construction,2179752,6,
52 - Tehama,2/26/2015,In Closure,0,0,
53 - Trinity,2/26/2015,In Review,778200,5,
53 - Trinity,2/26/2015,Pending Construction,258500,2,
53 - Trinity,2/26/2015,In Construction,115025,1,
53 - Trinity,2/26/2015,In Closure,0,0,
54 - Tulare,2/26/2015,In Review,29398818,13,
54 - Tulare,2/26/2015,Pending Construction,727500,9,
54 - Tulare,2/26/2015,In Construction,78940229,18,
54 - Tulare,2/26/2015,In Closure,905218,8,
55 - Tuolumne,2/26/2015,In Review,0,0,
55 - Tuolumne,2/26/2015,Pending Construction,0,0,
55 - Tuolumne,2/26/2015,In Construction,429375,5,
55 - Tuolumne,2/26/2015,In Closure,1082089,6,
56 - Ventura,2/26/2015,In Review,90505603,42,Greater Los Angeles Counties
56 - Ventura,2/26/2015,Pending Construction,17958370,47,Greater Los Angeles Counties
56 - Ventura,2/26/2015,In Construction,396670649,90,Greater Los Angeles Counties
56 - Ventura,2/26/2015,In Closure,37913226,35,Greater Los Angeles Counties
57 - Yolo,2/26/2015,In Review,2436401,7,Greater Sacramento Counties
57 - Yolo,2/26/2015,Pending Construction,2300855,7,Greater Sacramento Counties
57 - Yolo,2/26/2015,In Construction,2836234,12,Greater Sacramento Counties
57 - Yolo,2/26/2015,In Closure,1432107,5,Greater Sacramento Counties
58 - Yuba,2/26/2015,In Review,5392000,5,
58 - Yuba,2/26/2015,Pending Construction,44585275,1,
58 - Yuba,2/26/2015,In Construction,94917366,6,
58 - Yuba,2/26/2015,In Closure,60105,2,
01 - Alameda,3/13/2015,In Review,133263624,60,Bay Area Counties
01 - Alameda,3/13/2015,Pending Construction,315399798,125,Bay Area Counties
01 - Alameda,3/13/2015,In Construction,371814670,130,Bay Area Counties
01 - Alameda,3/13/2015,In Closure,1428719636,129,Bay Area Counties
02 - Alpine,3/13/2015,In Review,0,0,
02 - Alpine,3/13/2015,Pending Construction,0,0,
02 - Alpine,3/13/2015,In Construction,0,0,
02 - Alpine,3/13/2015,In Closure,0,0,
03 - Amador,3/13/2015,In Review,6000,1,
03 - Amador,3/13/2015,Pending Construction,90043,3,
03 - Amador,3/13/2015,In Construction,4245080,8,
03 - Amador,3/13/2015,In Closure,263439,2,
04 - Butte,3/13/2015,In Review,3284770,9,
04 - Butte,3/13/2015,Pending Construction,9056128,18,
04 - Butte,3/13/2015,In Construction,84930652,10,
04 - Butte,3/13/2015,In Closure,2503549,5,
05 - Calaveras,3/13/2015,In Review,0,0,
05 - Calaveras,3/13/2015,Pending Construction,0,0,
05 - Calaveras,3/13/2015,In Construction,512427,5,
05 - Calaveras,3/13/2015,In Closure,95733,3,
06 - Colusa,3/13/2015,In Review,0,0,
06 - Colusa,3/13/2015,Pending Construction,0,0,
06 - Colusa,3/13/2015,In Construction,168782,2,
06 - Colusa,3/13/2015,In Closure,2425,1,
07 - Contra Costa,3/13/2015,In Review,34806998,39,Bay Area Counties
07 - Contra Costa,3/13/2015,Pending Construction,16055081,49,Bay Area Counties
07 - Contra Costa,3/13/2015,In Construction,27095924,51,Bay Area Counties
07 - Contra Costa,3/13/2015,In Closure,10086004,29,Bay Area Counties
08 - Del Norte,3/13/2015,In Review,0,1,
08 - Del Norte,3/13/2015,Pending Construction,10000,1,
08 - Del Norte,3/13/2015,In Construction,919970,2,
08 - Del Norte,3/13/2015,In Closure,0,0,
09 - El Dorado,3/13/2015,In Review,8394519,9,Greater Sacramento Counties
09 - El Dorado,3/13/2015,Pending Construction,3512500,2,Greater Sacramento Counties
09 - El Dorado,3/13/2015,In Construction,18868576,10,Greater Sacramento Counties
09 - El Dorado,3/13/2015,In Closure,22418937,3,Greater Sacramento Counties
10 - Fresno,3/13/2015,In Review,31587155,16,
10 - Fresno,3/13/2015,Pending Construction,22945321,41,
10 - Fresno,3/13/2015,In Construction,256692615,81,
10 - Fresno,3/13/2015,In Closure,17383616,64,
11 - Glenn,3/13/2015,In Review,12962075,2,
11 - Glenn,3/13/2015,Pending Construction,0,0,
11 - Glenn,3/13/2015,In Construction,334685,2,
11 - Glenn,3/13/2015,In Closure,0,0,
12 - Humboldt,3/13/2015,In Review,12154500,8,
12 - Humboldt,3/13/2015,Pending Construction,717000,6,
12 - Humboldt,3/13/2015,In Construction,89257676,16,
12 - Humboldt,3/13/2015,In Closure,76300,1,
13 - Imperial,3/13/2015,In Review,0,0,
13 - Imperial,3/13/2015,Pending Construction,25648000,3,
13 - Imperial,3/13/2015,In Construction,540458,8,
13 - Imperial,3/13/2015,In Closure,35000,1,
14 - Inyo,3/13/2015,In Review,30000,1,
14 - Inyo,3/13/2015,Pending Construction,0,0,
14 - Inyo,3/13/2015,In Construction,50996,3,
14 - Inyo,3/13/2015,In Closure,20380,2,
15 - Kern,3/13/2015,In Review,8812676,22,
15 - Kern,3/13/2015,Pending Construction,2054236,19,
15 - Kern,3/13/2015,In Construction,69393972,39,
15 - Kern,3/13/2015,In Closure,5778213,18,
16 - Kings,3/13/2015,In Review,0,0,
16 - Kings,3/13/2015,Pending Construction,4922000,4,
16 - Kings,3/13/2015,In Construction,28469620,6,
16 - Kings,3/13/2015,In Closure,324766,8,
17 - Lake,3/13/2015,In Review,1392374,5,
17 - Lake,3/13/2015,Pending Construction,1000,1,
17 - Lake,3/13/2015,In Construction,11515447,13,
17 - Lake,3/13/2015,In Closure,1778428,8,
18 - Lassen,3/13/2015,In Review,1229830,4,
18 - Lassen,3/13/2015,Pending Construction,865640,5,
18 - Lassen,3/13/2015,In Construction,1010807,9,
18 - Lassen,3/13/2015,In Closure,237907,1,
19 - Los Angeles,3/13/2015,In Review,549489856,533,Greater Los Angeles Counties
19 - Los Angeles,3/13/2015,Pending Construction,196255093,502,Greater Los Angeles Counties
19 - Los Angeles,3/13/2015,In Construction,886138145,816,Greater Los Angeles Counties
19 - Los Angeles,3/13/2015,In Closure,1373659489,700,Greater Los Angeles Counties
20 - Madera,3/13/2015,In Review,1420478,6,
20 - Madera,3/13/2015,Pending Construction,1214755,5,
20 - Madera,3/13/2015,In Construction,2995725,14,
20 - Madera,3/13/2015,In Closure,16781418,11,
21 - Marin,3/13/2015,In Review,214073623,24,Bay Area Counties
21 - Marin,3/13/2015,Pending Construction,1012876,10,Bay Area Counties
21 - Marin,3/13/2015,In Construction,33018608,21,Bay Area Counties
21 - Marin,3/13/2015,In Closure,2912075,14,Bay Area Counties
22 - Mariposa,3/13/2015,In Review,198686,1,
22 - Mariposa,3/13/2015,Pending Construction,0,0,
22 - Mariposa,3/13/2015,In Construction,163850,1,
22 - Mariposa,3/13/2015,In Closure,0,0,
23 - Mendocino,3/13/2015,In Review,14597111,16,
23 - Mendocino,3/13/2015,Pending Construction,138500,4,
23 - Mendocino,3/13/2015,In Construction,44260672,19,
23 - Mendocino,3/13/2015,In Closure,115229,4,
24 - Merced,3/13/2015,In Review,171100,6,
24 - Merced,3/13/2015,Pending Construction,329500,5,
24 - Merced,3/13/2015,In Construction,13198524,7,
24 - Merced,3/13/2015,In Closure,496405,3,
25 - Modoc,3/13/2015,In Review,0,0,
25 - Modoc,3/13/2015,Pending Construction,0,0,
25 - Modoc,3/13/2015,In Construction,0,0,
25 - Modoc,3/13/2015,In Closure,0,0,
26 - Mono,3/13/2015,In Review,95397,1,
26 - Mono,3/13/2015,Pending Construction,60000,1,
26 - Mono,3/13/2015,In Construction,22398,4,
26 - Mono,3/13/2015,In Closure,0,0,
27 - Monterey,3/13/2015,In Review,9061340,21,
27 - Monterey,3/13/2015,Pending Construction,1548500,9,
27 - Monterey,3/13/2015,In Construction,34920823,11,
27 - Monterey,3/13/2015,In Closure,63898,2,
28 - Napa,3/13/2015,In Review,2314740,19,Bay Area Counties
28 - Napa,3/13/2015,Pending Construction,231450,6,Bay Area Counties
28 - Napa,3/13/2015,In Construction,34683201,18,Bay Area Counties
28 - Napa,3/13/2015,In Closure,49911317,15,Bay Area Counties
29 - Nevada,3/13/2015,In Review,5906200,8,
29 - Nevada,3/13/2015,Pending Construction,0,0,
29 - Nevada,3/13/2015,In Construction,48132175,29,
29 - Nevada,3/13/2015,In Closure,1941214,5,
30 - Orange,3/13/2015,In Review,31031928,75,Greater Los Angeles Counties
30 - Orange,3/13/2015,Pending Construction,49901986,75,Greater Los Angeles Counties
30 - Orange,3/13/2015,In Construction,116667040,173,Greater Los Angeles Counties
30 - Orange,3/13/2015,In Closure,87983040,202,Greater Los Angeles Counties
31 - Placer,3/13/2015,In Review,6741015,15,Greater Sacramento Counties
31 - Placer,3/13/2015,Pending Construction,1816434,12,Greater Sacramento Counties
31 - Placer,3/13/2015,In Construction,27375399,31,Greater Sacramento Counties
31 - Placer,3/13/2015,In Closure,95327761,19,Greater Sacramento Counties
32 - Plumas,3/13/2015,In Review,128118,3,
32 - Plumas,3/13/2015,Pending Construction,76437,4,
32 - Plumas,3/13/2015,In Construction,76962,2,
32 - Plumas,3/13/2015,In Closure,7946,1,
33 - Riverside,3/13/2015,In Review,221313270,83,
33 - Riverside,3/13/2015,Pending Construction,180822330,73,
33 - Riverside,3/13/2015,In Construction,134322307,128,
33 - Riverside,3/13/2015,In Closure,19849431,67,
34 - Sacramento,3/13/2015,In Review,104482306,66,Greater Sacramento Counties
34 - Sacramento,3/13/2015,Pending Construction,105344063,41,Greater Sacramento Counties
34 - Sacramento,3/13/2015,In Construction,283970563,137,Greater Sacramento Counties
34 - Sacramento,3/13/2015,In Closure,107317122,54,Greater Sacramento Counties
35 - San Benito,3/13/2015,In Review,0,0,
35 - San Benito,3/13/2015,Pending Construction,2000,1,
35 - San Benito,3/13/2015,In Construction,14008205,3,
35 - San Benito,3/13/2015,In Closure,250000,1,
36 - San Bernardino,3/13/2015,In Review,107879370,55,
36 - San Bernardino,3/13/2015,Pending Construction,15518934,77,
36 - San Bernardino,3/13/2015,In Construction,174877866,136,
36 - San Bernardino,3/13/2015,In Closure,48654381,65,
37 - San Diego,3/13/2015,In Review,88816288,107,
37 - San Diego,3/13/2015,Pending Construction,27574361,118,
37 - San Diego,3/13/2015,In Construction,1148694438,251,
37 - San Diego,3/13/2015,In Closure,116176525,197,
38 - San Francisco,3/13/2015,In Review,930475089,66,Bay Area Counties
38 - San Francisco,3/13/2015,Pending Construction,25807856,50,Bay Area Counties
38 - San Francisco,3/13/2015,In Construction,1411267791,130,Bay Area Counties
38 - San Francisco,3/13/2015,In Closure,772470965,33,Bay Area Counties
39 - San Joaquin,3/13/2015,In Review,36228425,30,
39 - San Joaquin,3/13/2015,Pending Construction,3195386,30,
39 - San Joaquin,3/13/2015,In Construction,17847704,40,
39 - San Joaquin,3/13/2015,In Closure,7024716,17,
40 - San Luis Obispo,3/13/2015,In Review,276500,4,
40 - San Luis Obispo,3/13/2015,Pending Construction,294500,9,
40 - San Luis Obispo,3/13/2015,In Construction,3771118,15,
40 - San Luis Obispo,3/13/2015,In Closure,7099033,22,
41 - San Mateo,3/13/2015,In Review,208280614,35,Bay Area Counties
41 - San Mateo,3/13/2015,Pending Construction,19163085,23,Bay Area Counties
41 - San Mateo,3/13/2015,In Construction,112783664,39,Bay Area Counties
41 - San Mateo,3/13/2015,In Closure,58730034,21,Bay Area Counties
42 - Santa Barbara,3/13/2015,In Review,14184675,20,
42 - Santa Barbara,3/13/2015,Pending Construction,8517757,23,
42 - Santa Barbara,3/13/2015,In Construction,373001819,52,
42 - Santa Barbara,3/13/2015,In Closure,81827060,19,
43 - Santa Clara,3/13/2015,In Review,205886591,89,Bay Area Counties
43 - Santa Clara,3/13/2015,Pending Construction,20260868,48,Bay Area Counties
43 - Santa Clara,3/13/2015,In Construction,1588982538,147,Bay Area Counties
43 - Santa Clara,3/13/2015,In Closure,161064631,35,Bay Area Counties
44 - Santa Cruz,3/13/2015,In Review,968216,8,
44 - Santa Cruz,3/13/2015,Pending Construction,65680,3,
44 - Santa Cruz,3/13/2015,In Construction,11575767,19,
44 - Santa Cruz,3/13/2015,In Closure,299959,2,
45 - Shasta,3/13/2015,In Review,22668030,16,
45 - Shasta,3/13/2015,Pending Construction,1405415,17,
45 - Shasta,3/13/2015,In Construction,10805083,29,
45 - Shasta,3/13/2015,In Closure,535249,4,
46 - Sierra,3/13/2015,In Review,0,0,
46 - Sierra,3/13/2015,Pending Construction,0,0,
46 - Sierra,3/13/2015,In Construction,0,0,
46 - Sierra,3/13/2015,In Closure,0,0,
47 - Siskiyou,3/13/2015,In Review,573607,5,
47 - Siskiyou,3/13/2015,Pending Construction,779200,3,
47 - Siskiyou,3/13/2015,In Construction,1046729,9,
47 - Siskiyou,3/13/2015,In Closure,30000,2,
48 - Solano,3/13/2015,In Review,59142720,15,Bay Area Counties
48 - Solano,3/13/2015,Pending Construction,9062741,13,Bay Area Counties
48 - Solano,3/13/2015,In Construction,45194443,28,Bay Area Counties
48 - Solano,3/13/2015,In Closure,3556474,16,Bay Area Counties
49 - Sonoma,3/13/2015,In Review,6475500,25,Bay Area Counties
49 - Sonoma,3/13/2015,Pending Construction,1132366,11,Bay Area Counties
49 - Sonoma,3/13/2015,In Construction,19896704,38,Bay Area Counties
49 - Sonoma,3/13/2015,In Closure,133846361,31,Bay Area Counties
50 - Stanislaus,3/13/2015,In Review,22806451,12,
50 - Stanislaus,3/13/2015,Pending Construction,6306781,26,
50 - Stanislaus,3/13/2015,In Construction,7144054,36,
50 - Stanislaus,3/13/2015,In Closure,12694209,20,
51 - Sutter,3/13/2015,In Review,0,1,
51 - Sutter,3/13/2015,Pending Construction,12704683,3,
51 - Sutter,3/13/2015,In Construction,275467,1,
51 - Sutter,3/13/2015,In Closure,0,0,
52 - Tehama,3/13/2015,In Review,489636,3,
52 - Tehama,3/13/2015,Pending Construction,419575,6,
52 - Tehama,3/13/2015,In Construction,2179752,6,
52 - Tehama,3/13/2015,In Closure,0,0,
53 - Trinity,3/13/2015,In Review,778200,5,
53 - Trinity,3/13/2015,Pending Construction,258500,2,
53 - Trinity,3/13/2015,In Construction,115025,1,
53 - Trinity,3/13/2015,In Closure,0,0,
54 - Tulare,3/13/2015,In Review,29434800,13,
54 - Tulare,3/13/2015,Pending Construction,801518,11,
54 - Tulare,3/13/2015,In Construction,78426229,17,
54 - Tulare,3/13/2015,In Closure,1356736,8,
55 - Tuolumne,3/13/2015,In Review,0,0,
55 - Tuolumne,3/13/2015,Pending Construction,0,0,
55 - Tuolumne,3/13/2015,In Construction,421961,3,
55 - Tuolumne,3/13/2015,In Closure,1003403,6,
56 - Ventura,3/13/2015,In Review,90510603,42,Greater Los Angeles Counties
56 - Ventura,3/13/2015,Pending Construction,18101433,49,Greater Los Angeles Counties
56 - Ventura,3/13/2015,In Construction,396530450,88,Greater Los Angeles Counties
56 - Ventura,3/13/2015,In Closure,37846035,36,Greater Los Angeles Counties
57 - Yolo,3/13/2015,In Review,2436401,7,Greater Sacramento Counties
57 - Yolo,3/13/2015,Pending Construction,2248211,5,Greater Sacramento Counties
57 - Yolo,3/13/2015,In Construction,2899474,13,Greater Sacramento Counties
57 - Yolo,3/13/2015,In Closure,1431751,5,Greater Sacramento Counties
58 - Yuba,3/13/2015,In Review,5392000,5,
58 - Yuba,3/13/2015,Pending Construction,44585275,1,
58 - Yuba,3/13/2015,In Construction,94917366,6,
58 - Yuba,3/13/2015,In Closure,60105,2,
01 - Alameda,3/27/2015,In Review,194570499,62,Bay Area Counties
01 - Alameda,3/27/2015,Pending Construction,315446023,126,Bay Area Counties
01 - Alameda,3/27/2015,In Construction,372287340,129,Bay Area Counties
01 - Alameda,3/27/2015,In Closure,1428567350,127,Bay Area Counties
02 - Alpine,3/27/2015,In Review,0,0,
02 - Alpine,3/27/2015,Pending Construction,0,0,
02 - Alpine,3/27/2015,In Construction,0,0,
02 - Alpine,3/27/2015,In Closure,0,0,
03 - Amador,3/27/2015,In Review,6000,1,
03 - Amador,3/27/2015,Pending Construction,90043,3,
03 - Amador,3/27/2015,In Construction,4245080,8,
03 - Amador,3/27/2015,In Closure,263439,2,
04 - Butte,3/27/2015,In Review,3284770,9,
04 - Butte,3/27/2015,Pending Construction,7396128,16,
04 - Butte,3/27/2015,In Construction,86623415,12,
04 - Butte,3/27/2015,In Closure,2503549,5,
05 - Calaveras,3/27/2015,In Review,0,0,
05 - Calaveras,3/27/2015,Pending Construction,0,0,
05 - Calaveras,3/27/2015,In Construction,512427,5,
05 - Calaveras,3/27/2015,In Closure,95733,3,
06 - Colusa,3/27/2015,In Review,0,0,
06 - Colusa,3/27/2015,Pending Construction,0,0,
06 - Colusa,3/27/2015,In Construction,189399,3,
06 - Colusa,3/27/2015,In Closure,10937,2,
07 - Contra Costa,3/27/2015,In Review,32966970,35,Bay Area Counties
07 - Contra Costa,3/27/2015,Pending Construction,17949697,52,Bay Area Counties
07 - Contra Costa,3/27/2015,In Construction,27639378,51,Bay Area Counties
07 - Contra Costa,3/27/2015,In Closure,10115195,31,Bay Area Counties
08 - Del Norte,3/27/2015,In Review,0,1,
08 - Del Norte,3/27/2015,Pending Construction,14000,2,
08 - Del Norte,3/27/2015,In Construction,919970,2,
08 - Del Norte,3/27/2015,In Closure,9958,1,
09 - El Dorado,3/27/2015,In Review,8394234,8,Greater Sacramento Counties
09 - El Dorado,3/27/2015,Pending Construction,3512785,3,Greater Sacramento Counties
09 - El Dorado,3/27/2015,In Construction,18883976,10,Greater Sacramento Counties
09 - El Dorado,3/27/2015,In Closure,22418937,3,Greater Sacramento Counties
10 - Fresno,3/27/2015,In Review,31853941,16,
10 - Fresno,3/27/2015,Pending Construction,23015321,43,
10 - Fresno,3/27/2015,In Construction,238681133,77,
10 - Fresno,3/27/2015,In Closure,33409350,55,
11 - Glenn,3/27/2015,In Review,12962075,2,
11 - Glenn,3/27/2015,Pending Construction,0,0,
11 - Glenn,3/27/2015,In Construction,334685,2,
11 - Glenn,3/27/2015,In Closure,0,0,
12 - Humboldt,3/27/2015,In Review,12154500,8,
12 - Humboldt,3/27/2015,Pending Construction,717000,6,
12 - Humboldt,3/27/2015,In Construction,89257676,16,
12 - Humboldt,3/27/2015,In Closure,76300,1,
13 - Imperial,3/27/2015,In Review,0,0,
13 - Imperial,3/27/2015,Pending Construction,25500000,2,
13 - Imperial,3/27/2015,In Construction,590458,9,
13 - Imperial,3/27/2015,In Closure,35000,1,
14 - Inyo,3/27/2015,In Review,30000,1,
14 - Inyo,3/27/2015,Pending Construction,0,0,
14 - Inyo,3/27/2015,In Construction,50996,3,
14 - Inyo,3/27/2015,In Closure,20380,2,
15 - Kern,3/27/2015,In Review,10117176,23,
15 - Kern,3/27/2015,Pending Construction,2225236,21,
15 - Kern,3/27/2015,In Construction,69304448,39,
15 - Kern,3/27/2015,In Closure,4887792,15,
16 - Kings,3/27/2015,In Review,0,0,
16 - Kings,3/27/2015,Pending Construction,4922000,4,
16 - Kings,3/27/2015,In Construction,28464620,5,
16 - Kings,3/27/2015,In Closure,340929,8,
17 - Lake,3/27/2015,In Review,1492374,6,
17 - Lake,3/27/2015,Pending Construction,1000,1,
17 - Lake,3/27/2015,In Construction,11484447,11,
17 - Lake,3/27/2015,In Closure,1809428,10,
18 - Lassen,3/27/2015,In Review,1229830,4,
18 - Lassen,3/27/2015,Pending Construction,865640,5,
18 - Lassen,3/27/2015,In Construction,1010807,9,
18 - Lassen,3/27/2015,In Closure,237907,1,
19 - Los Angeles,3/27/2015,In Review,446386714,541,Greater Los Angeles Counties
19 - Los Angeles,3/27/2015,Pending Construction,287527199,500,Greater Los Angeles Counties
19 - Los Angeles,3/27/2015,In Construction,913296665,838,Greater Los Angeles Counties
19 - Los Angeles,3/27/2015,In Closure,1273252633,631,Greater Los Angeles Counties
20 - Madera,3/27/2015,In Review,1430478,7,
20 - Madera,3/27/2015,Pending Construction,1675755,7,
20 - Madera,3/27/2015,In Construction,2788975,13,
20 - Madera,3/27/2015,In Closure,14796398,9,
21 - Marin,3/27/2015,In Review,214727884,28,Bay Area Counties
21 - Marin,3/27/2015,Pending Construction,2818676,11,Bay Area Counties
21 - Marin,3/27/2015,In Construction,33260777,21,Bay Area Counties
21 - Marin,3/27/2015,In Closure,2976839,15,Bay Area Counties
22 - Mariposa,3/27/2015,In Review,198686,1,
22 - Mariposa,3/27/2015,Pending Construction,0,0,
22 - Mariposa,3/27/2015,In Construction,163850,1,
22 - Mariposa,3/27/2015,In Closure,0,0,
23 - Mendocino,3/27/2015,In Review,14605251,18,
23 - Mendocino,3/27/2015,Pending Construction,153860,7,
23 - Mendocino,3/27/2015,In Construction,44669421,20,
23 - Mendocino,3/27/2015,In Closure,115229,4,
24 - Merced,3/27/2015,In Review,164600,6,
24 - Merced,3/27/2015,Pending Construction,337000,6,
24 - Merced,3/27/2015,In Construction,13203524,7,
24 - Merced,3/27/2015,In Closure,443097,3,
25 - Modoc,3/27/2015,In Review,0,0,
25 - Modoc,3/27/2015,Pending Construction,0,0,
25 - Modoc,3/27/2015,In Construction,0,0,
25 - Modoc,3/27/2015,In Closure,0,0,
26 - Mono,3/27/2015,In Review,95397,1,
26 - Mono,3/27/2015,Pending Construction,60000,1,
26 - Mono,3/27/2015,In Construction,22398,4,
26 - Mono,3/27/2015,In Closure,0,0,
27 - Monterey,3/27/2015,In Review,8890351,20,
27 - Monterey,3/27/2015,Pending Construction,1490839,10,
27 - Monterey,3/27/2015,In Construction,35329390,10,
27 - Monterey,3/27/2015,In Closure,48503,2,
28 - Napa,3/27/2015,In Review,2314740,19,Bay Area Counties
28 - Napa,3/27/2015,Pending Construction,151450,5,Bay Area Counties
28 - Napa,3/27/2015,In Construction,34860092,19,Bay Area Counties
28 - Napa,3/27/2015,In Closure,49911317,15,Bay Area Counties
29 - Nevada,3/27/2015,In Review,5856200,7,
29 - Nevada,3/27/2015,Pending Construction,50000,1,
29 - Nevada,3/27/2015,In Construction,48132875,29,
29 - Nevada,3/27/2015,In Closure,1941214,5,
30 - Orange,3/27/2015,In Review,29225883,81,Greater Los Angeles Counties
30 - Orange,3/27/2015,Pending Construction,53968655,78,Greater Los Angeles Counties
30 - Orange,3/27/2015,In Construction,113430422,174,Greater Los Angeles Counties
30 - Orange,3/27/2015,In Closure,87549029,183,Greater Los Angeles Counties
31 - Placer,3/27/2015,In Review,6639862,15,Greater Sacramento Counties
31 - Placer,3/27/2015,Pending Construction,1959651,13,Greater Sacramento Counties
31 - Placer,3/27/2015,In Construction,22282533,32,Greater Sacramento Counties
31 - Placer,3/27/2015,In Closure,106842565,20,Greater Sacramento Counties
32 - Plumas,3/27/2015,In Review,128118,3,
32 - Plumas,3/27/2015,Pending Construction,76437,4,
32 - Plumas,3/27/2015,In Construction,76962,2,
32 - Plumas,3/27/2015,In Closure,7946,1,
33 - Riverside,3/27/2015,In Review,221043270,80,
33 - Riverside,3/27/2015,Pending Construction,179160330,76,
33 - Riverside,3/27/2015,In Construction,136736634,123,
33 - Riverside,3/27/2015,In Closure,23926408,74,
34 - Sacramento,3/27/2015,In Review,102715557,66,Greater Sacramento Counties
34 - Sacramento,3/27/2015,Pending Construction,107352204,44,Greater Sacramento Counties
34 - Sacramento,3/27/2015,In Construction,283915949,137,Greater Sacramento Counties
34 - Sacramento,3/27/2015,In Closure,108462114,58,Greater Sacramento Counties
35 - San Benito,3/27/2015,In Review,0,0,
35 - San Benito,3/27/2015,Pending Construction,167000,2,
35 - San Benito,3/27/2015,In Construction,14008205,3,
35 - San Benito,3/27/2015,In Closure,250000,1,
36 - San Bernardino,3/27/2015,In Review,108373428,58,
36 - San Bernardino,3/27/2015,Pending Construction,9886831,76,
36 - San Bernardino,3/27/2015,In Construction,180658170,137,
36 - San Bernardino,3/27/2015,In Closure,49506603,67,
37 - San Diego,3/27/2015,In Review,89632440,106,
37 - San Diego,3/27/2015,Pending Construction,24203433,117,
37 - San Diego,3/27/2015,In Construction,1045458580,249,
37 - San Diego,3/27/2015,In Closure,173220405,192,
38 - San Francisco,3/27/2015,In Review,930040661,65,Bay Area Counties
38 - San Francisco,3/27/2015,Pending Construction,26120284,50,Bay Area Counties
38 - San Francisco,3/27/2015,In Construction,1410559344,128,Bay Area Counties
38 - San Francisco,3/27/2015,In Closure,773623893,34,Bay Area Counties
39 - San Joaquin,3/27/2015,In Review,36105107,28,
39 - San Joaquin,3/27/2015,Pending Construction,3231060,31,
39 - San Joaquin,3/27/2015,In Construction,11035432,41,
39 - San Joaquin,3/27/2015,In Closure,13878752,18,
40 - San Luis Obispo,3/27/2015,In Review,276500,4,
40 - San Luis Obispo,3/27/2015,Pending Construction,303500,9,
40 - San Luis Obispo,3/27/2015,In Construction,3781118,16,
40 - San Luis Obispo,3/27/2015,In Closure,7216963,20,
41 - San Mateo,3/27/2015,In Review,207174757,32,Bay Area Counties
41 - San Mateo,3/27/2015,Pending Construction,20269942,26,Bay Area Counties
41 - San Mateo,3/27/2015,In Construction,108892508,38,Bay Area Counties
41 - San Mateo,3/27/2015,In Closure,62624178,22,Bay Area Counties
42 - Santa Barbara,3/27/2015,In Review,14184675,20,
42 - Santa Barbara,3/27/2015,Pending Construction,8576257,23,
42 - Santa Barbara,3/27/2015,In Construction,373053319,51,
